iter	RMSE
168	3.198945894
169	3.196102956
170	3.191719382
171	3.18552219
172	3.177623543
173	3.170697173
174	3.163400877
175	3.156173016
176	3.150006325
177	3.143605602
178	3.138173029
179	3.130206695
180	3.12594529
181	3.119840489
182	3.116777103
183	3.113354482
184	3.106778907
185	3.102623031
186	3.097304544
187	3.091976447
188	3.08751065
189	3.07984004
190	3.07565923
191	3.070091624
192	3.066755801
193	3.061187202
194	3.055300633
195	3.047607467
196	3.042166042
197	3.034568749
198	3.027675434
199	3.023079861
200	3.016858796
201	3.013341735
202	3.002730594
203	2.99693422
204	2.992031639
205	2.984826889
206	2.982891734
207	2.980848946
208	2.971952686
209	2.969709819
210	2.965548401
211	2.959944432
212	2.954768832
213	2.952453371
214	2.95096979
215	2.945701325
216	2.937372121
217	2.935149375
218	2.93150111
219	2.92825661
220	2.92560946
221	2.921928502
222	2.918948766
223	2.914398829
224	2.906428296
225	2.898172971
226	2.888122401
227	2.884786501
228	2.880165444
229	2.877657851
230	2.875165999
231	2.869759775
232	2.861271491
233	2.859134485
234	2.854116893
235	2.849930572
236	2.841065473
237	2.83059915
238	2.82597846
239	2.816675091
240	2.810986333
241	2.806776214
242	2.795808166
243	2.793911436
244	2.7923503
245	2.78282951
246	2.776495846
247	2.769831634
248	2.760659525
249	2.752734703
250	2.750408614
251	2.746344278
252	2.737525393
253	2.73094435
254	2.723161317
255	2.720956031
256	2.716658345
257	2.711111276
258	2.70101889
259	2.691919993
260	2.689093412
261	2.684098638
262	2.682606837
263	2.67245596
264	2.670975031
265	2.662836668
266	2.658564218
267	2.65073764
268	2.643772471
269	2.636750442
270	2.627361176
271	2.62285614
272	2.614458065
273	2.608152942
274	2.605573048
275	2.597239655
276	2.595748212
277	2.587733343
278	2.581869925
279	2.5747005
280	2.570137774
281	2.564906835
282	2.561189389
283	2.551659111
284	2.55080382
285	2.547487559
286	2.545840561
287	2.542588791
288	2.538411787
289	2.53385789
290	2.530752534
291	2.529457742
292	2.521889571
293	2.520049638
294	2.513332433
295	2.511563097
296	2.505066925
297	2.501582982
298	2.497724744
299	2.495645305
300	2.491345037
301	2.488920062
302	2.483327748
303	2.476162474
304	2.468882753
305	2.461983822
306	2.456830229
307	2.450090391
308	2.444546936
309	2.437703695
310	2.436192598
311	2.429895807
312	2.423229247
313	2.418082317
314	2.41589427
315	2.414862808
316	2.411623653
317	2.405643325
318	2.404188201
319	2.395500533
320	2.391577975
321	2.388965268
322	2.381942512
323	2.380716388
324	2.376757116
325	2.369051425
326	2.363855176
327	2.358128863
328	2.356959753
329	2.351177829
330	2.343479479
331	2.341422015
332	2.336719234
333	2.333648732
334	2.331152942
335	2.326243968
336	2.320485063
337	2.319135167
338	2.317884988
339	2.31198961
340	2.309842772
341	2.306969764
342	2.301084625
343	2.296635894
344	2.288937896
345	2.287006324
346	2.283753557
347	2.279202155
348	2.271772904
349	2.265669082
350	2.261924742
351	2.257916529
352	2.25442028
353	2.252370314
354	2.2506097
355	2.248934099
356	2.246888759
357	2.241373451
358	2.238835586
359	2.237173674
360	2.231717861
361	2.2300878
362	2.224719618
363	2.221639083
364	2.215308466
365	2.212080064
366	2.208716452
367	2.203110273
368	2.197553519
369	2.19645095
370	2.1922751
371	2.189543918
372	2.185727337
373	2.183455118
374	2.179327905
375	2.175895535
376	2.171909648
377	2.166109939
378	2.160958578
379	2.15429159
380	2.148935867
381	2.147121862
382	2.141243732
383	2.136084366
384	2.131240034
385	2.129909771
386	2.124660232
387	2.121353216
388	2.115346486
389	2.113557305
390	2.112539844
391	2.110912146
392	2.109686109
393	2.104976359
394	2.102797179
395	2.097757219
396	2.091628231
397	2.088358234
398	2.086007521
399	2.083801481
400	2.078840905
401	2.073458075
402	2.07244823
403	2.069667619
404	2.066685221
405	2.060933088
406	2.059288848
407	2.055985674
408	2.052597487
409	2.051063586
410	2.047851011
411	2.045748666
412	2.0413537
413	2.039363304
414	2.033218054
415	2.027149691
416	2.021345557
417	2.019543854
418	2.01547183
419	2.012732298
420	2.008060184
421	2.007220756
422	2.002388193
423	1.998079351
424	1.995440102
425	1.993043638
426	1.991885409
427	1.989392951
428	1.985567281
429	1.980763081
430	1.974869848
431	1.970745546
432	1.968338548
433	1.966454362
434	1.963703207
435	1.961478606
436	1.955988395
437	1.95400031
438	1.949265856
439	1.94668721
440	1.944009678
441	1.940791375
442	1.937551741
443	1.935327691
444	1.932779237
445	1.930868136
446	1.928157434
447	1.923764459
448	1.918756129
449	1.916142123
450	1.911925917
451	1.90799289
452	1.906729006
453	1.902287708
454	1.899035389
455	1.896458361
456	1.894915811
457	1.892379695
458	1.888564169
459	1.886518893
460	1.882938917
461	1.879330267
462	1.875559988
463	1.874028317
464	1.870104609
465	1.866799525
466	1.865933601
467	1.861046837
468	1.859697554
469	1.857238252
470	1.854911165
471	1.853100538
472	1.849938359
473	1.846118283
474	1.841359034
475	1.840072577
476	1.837613999
477	1.833265217
478	1.8304868
479	1.826036215
480	1.821665952
481	1.818157096
482	1.815231768
483	1.811813883
484	1.807285516
485	1.804374331
486	1.79974129
487	1.797787669
488	1.796187072
489	1.795277073
490	1.793012691
491	1.791247413
492	1.788380606
493	1.78410843
494	1.779971625
495	1.777773105
496	1.77570656
497	1.773915237
498	1.772224691
499	1.770186115
500	1.767602543
501	1.765699164
502	1.76098579
503	1.756280482
504	1.752842198
505	1.751992332
506	1.748130247
507	1.744725111
508	1.741097875
509	1.73772822
510	1.733296146
511	1.730013397
512	1.726406357
513	1.723565386
514	1.719901927
515	1.716458287
516	1.713028956
517	1.712356174
518	1.708859481
519	1.705245617
520	1.701947682
521	1.700749515
522	1.698039422
523	1.696077393
524	1.691166959
525	1.689113002
526	1.685328586
527	1.682788392
528	1.680740924
529	1.679458186
530	1.676853886
531	1.674413104
532	1.672865158
533	1.670664416
534	1.669886733
535	1.667064282
536	1.665910509
537	1.663143078
538	1.660157899
539	1.657773421
540	1.654519617
541	1.651827006
542	1.64972431
543	1.648099173
544	1.647291519
545	1.643737879
546	1.642734515
547	1.641168729
548	1.639150911
549	1.636999647
550	1.635480488
551	1.633077996
552	1.629010648
553	1.62581136
554	1.624962829
555	1.623918676
556	1.620653383
557	1.619154574
558	1.617158099
559	1.614100548
560	1.611913928
561	1.610719352
562	1.607885289
563	1.604786503
564	1.604136908
565	1.601929487
566	1.600831824
567	1.598712834
568	1.595431865
569	1.592607046
570	1.589234593
571	1.587755225
572	1.58621518
573	1.583370133
574	1.58054465
575	1.577867304
576	1.5746501
577	1.571035619
578	1.569289369
579	1.565725567
580	1.562574405
581	1.561855976
582	1.560342504
583	1.558061035
584	1.555689578
585	1.552119884
586	1.55004092
587	1.548104879
588	1.545671735
589	1.544037693
590	1.540793894
591	1.537307252
592	1.534301417
593	1.531695244
594	1.530585408
595	1.529679356
596	1.526946587
597	1.52584624
598	1.524608058
599	1.522158461
600	1.519233199
601	1.517446309
602	1.515317152
603	1.512926541
604	1.512017005
605	1.510235379
606	1.508851225
607	1.506086373
608	1.503111272
609	1.500378884
610	1.499365296
611	1.496856932
612	1.493885561
613	1.491943921
614	1.488436091
615	1.487525622
616	1.485694895
617	1.482996275
618	1.481384123
619	1.480529176
620	1.477281127
621	1.476393364
622	1.47369029
623	1.472426772
624	1.471657596
625	1.468881651
626	1.466654013
627	1.465196815
628	1.462029668
629	1.460610412
630	1.45904948
631	1.456503227
632	1.454634315
633	1.452811515
634	1.451435135
635	1.449564194
636	1.448389582
637	1.446286559
638	1.444579091
639	1.44213401
640	1.440836253
641	1.439087829
642	1.437208879
643	1.435212174
644	1.43209249
645	1.429416302
646	1.427842913
647	1.427327831
648	1.424701954
649	1.421665942
650	1.419794235
651	1.416517771
652	1.414310344
653	1.412590387
654	1.410010997
655	1.408200086
656	1.406235198
657	1.405472252
658	1.403048258
659	1.400091292
660	1.397010483
661	1.396039898
662	1.395252169
663	1.393321454
664	1.391780592
665	1.388588966
666	1.387193369
667	1.384529133
668	1.382631117
669	1.380033947
670	1.37732847
671	1.375921813
672	1.372435571
673	1.371556404
674	1.370197527
675	1.368315708
676	1.366896459
677	1.364010584
678	1.362516613
679	1.36162772
680	1.358896257
681	1.356940631
682	1.353824867
683	1.352039816
684	1.350476423
685	1.347572264
686	1.345960305
687	1.344308323
688	1.34240644
689	1.340599969
690	1.339316231
691	1.33740247
692	1.334552318
693	1.331688885
694	1.328713801
695	1.327099469
696	1.324326179
697	1.322426837
698	1.320423439
699	1.31905484
700	1.316438172
701	1.314706224
702	1.313217352
703	1.310832354
704	1.307766965
705	1.306971905
706	1.304826297
707	1.302576363
708	1.300856008
709	1.298217217
710	1.296301479
711	1.294944819
712	1.292955417
713	1.292404172
714	1.291626113
715	1.289249637
716	1.287265678
717	1.284502817
718	1.283703562
719	1.281872603
720	1.279195616
721	1.276788635
722	1.27409554
723	1.272276572
724	1.271763186
725	1.269189052
726	1.26846446
727	1.267223987
728	1.266728908
729	1.264262202
730	1.262250604
731	1.260045303
732	1.259293343
733	1.256541073
734	1.253937822
735	1.252388897
736	1.251575089
737	1.250800942
738	1.250348437
739	1.249544319
740	1.248925944
741	1.24728455
742	1.246128093
743	1.243419091
744	1.242172875
745	1.241691016
746	1.239060087
747	1.236424104
748	1.23448023
749	1.232008504
750	1.229915425
751	1.228589959
752	1.227339045
753	1.225944691
754	1.224923586
755	1.223276746
756	1.221658111
757	1.22047304
758	1.218676254
759	1.217590227
760	1.216106584
761	1.214463004
762	1.213762601
763	1.212887264
764	1.210289118
765	1.209893498
766	1.207590218
767	1.206740256
768	1.204586685
769	1.20281713
770	1.200697383
771	1.200080721
772	1.198934504
773	1.197947619
774	1.195584853
775	1.193624892
776	1.192964711
777	1.190502031
778	1.188883713
779	1.186835984
780	1.185332564
781	1.18456257
782	1.182626977
783	1.180559962
784	1.17921154
785	1.176833568
786	1.175192105
787	1.173371532
788	1.17130954
789	1.169799654
790	1.168020507
791	1.166410429
792	1.165203416
793	1.163051904
794	1.161290203
795	1.159852558
796	1.158834776
797	1.157460827
798	1.155207157
799	1.152882221
800	1.151914762
801	1.150334623
802	1.1489511
803	1.148191746
804	1.147661933
805	1.146749598
806	1.145742199
807	1.144623146
808	1.142998843
809	1.141099171
810	1.139094674
811	1.136949394
812	1.13525055
813	1.133068554
814	1.132521758
815	1.131205366
816	1.129785387
817	1.127547181
818	1.125646983
819	1.123515294
820	1.123041045
821	1.121554206
822	1.119310574
823	1.118613927
824	1.11707946
825	1.116502031
826	1.114103935
827	1.111885452
828	1.111456167
829	1.110978359
830	1.109521939
831	1.109027189
832	1.108635535
833	1.107081116
834	1.10575514
835	1.103115851
836	1.101448182
837	1.099221576
838	1.097511582
839	1.096349875
840	1.094209556
841	1.092979323
842	1.091656934
843	1.090960772
844	1.089242234
845	1.087300622
846	1.086082171
847	1.084492715
848	1.083821515
849	1.082398076
850	1.08117231
851	1.080639134
852	1.078572055
853	1.077821181
854	1.077084858
855	1.075634273
856	1.073708117
857	1.071962185
858	1.071492514
859	1.070274388
860	1.069796296
861	1.069214489
862	1.067711436
863	1.066758559
864	1.066233935
865	1.065683426
866	1.064213666
867	1.0633272
868	1.062071542
869	1.061743173
870	1.059591307
871	1.057887876
872	1.055793911
873	1.054536167
874	1.054076882
875	1.052523582
876	1.051077381
877	1.04977968
878	1.048151966
879	1.047237112
880	1.045148877
881	1.043423331
882	1.041959703
883	1.04120167
884	1.039664649
885	1.037764859
886	1.036685869
887	1.03573111
888	1.035379384
889	1.034626363
890	1.034348417
891	1.032941159
892	1.031105593
893	1.030756
894	1.029288467
895	1.027980088
896	1.027518072
897	1.025397225
898	1.024556772
899	1.023961177
900	1.023311332
901	1.021111561
902	1.020712106
903	1.018849055
904	1.018121823
905	1.016812599
906	1.016362795
907	1.015875093
908	1.014482444
909	1.012960885
910	1.010949035
911	1.009159631
912	1.00846691
913	1.008214141
914	1.006479328
915	1.004679202
916	1.003385498
917	1.001853283
918	1.000511013
919	0.9994990368
920	0.9981604864
921	0.996833605
922	0.9959002743
923	0.9946616393
924	0.9929531912
925	0.9926745111
926	0.9919263662
927	0.9908543132
928	0.9903597352
929	0.9885310563
930	0.9873049641
931	0.985844605
932	0.9840997586
933	0.9833167123
934	0.9821964255
935	0.9807631234
936	0.9785334023
937	0.9769714267
938	0.9761389326
939	0.9750043162
940	0.973714873
941	0.9730053162
942	0.9718659707
943	0.9711686091
944	0.9696473525
945	0.9693130913
946	0.9677208002
947	0.9672458647
948	0.965580976
949	0.9638676282
950	0.9626076094
951	0.961563698
952	0.96079675
953	0.9589488675
954	0.9577532414
955	0.9575054881
956	0.9559276803
957	0.9552383997
958	0.954550829
959	0.9531001715
960	0.9527034664
961	0.9515748742
962	0.9497647544
963	0.9490501902
964	0.9478139084
965	0.9462597621
966	0.9449353473
967	0.9434280267
968	0.9429296256
969	0.9416308806
970	0.9400916053
971	0.9391961865
972	0.9381843304
973	0.9367774531
974	0.934970693
975	0.9333035699
976	0.9326304472
977	0.9309127052
978	0.9300118792
979	0.9286955258
980	0.9283142248
981	0.9272160141
982	0.9263348197
983	0.9256640695
984	0.9242186082
985	0.9227370093
986	0.9216375662
987	0.9206066802
988	0.9197350656
989	0.9183517895
990	0.916994852
991	0.9156118316
992	0.9142003694
993	0.912653378
994	0.9111040184
995	0.9107575513
996	0.9095948568
997	0.9084602995
998	0.9073948694
999	0.9064960232
